MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       918.02,       915.00,       925.00,       912.50,       925.00,                  2065696.10,2237, ,23,       980.00,       835.80
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,       922.80,       923.80,       923.80,       908.80,       908.80,                    92561.30,101, ,4,      1035.00,       894.00
N,NU,IIFLZC28A,SEC RE NCD 0% SR.VII,      1010.00,      1000.00,      1009.99,       970.00,       970.00,                  1125824.30,1125, ,10,      1035.00,       901.00
N,NV,835IFL25,SEC RE NCD 8.35% SR.I,      1030.00,      1002.20,      1025.80,      1002.20,      1025.80,                   396367.80,391, ,5,      1049.00,       830.00
N,NW,DLSL25,SEC RE NCD 0% SR.VI,      1240.65,      1232.48,      1232.48,      1232.48,      1232.48,                     7394.88,6, ,2,      1243.57,       902.10
N,NW,IIFLZC25B,SEC RE NCD 0% SR.II,      1038.00,      1038.00,      1038.00,      1038.00,      1038.00,                    10380.00,10, ,1,      1038.00,       900.00
N,NX,1003ICCL28,SEC RE NCD 10.50% SR.VII,       934.40,       934.00,       947.00,       934.00,       940.00,                   787304.60,840, ,22,      1260.00,       900.00
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       896.95,       896.95,       905.00,       896.95,       905.00,                    44023.00,49, ,3,      1000.00,       860.60
N,NZ,890ICCL23A,SEC RE NCD 10.03% SR.VIII,       924.00,       924.00,       924.00,       924.00,       924.00,                    11088.00,12, ,3,      1065.00,       875.00
N,Y3,925IHFL25B,SEC RE NCD 9.25% SR II,       950.14,       950.20,       950.20,       950.00,       950.00,                    85505.00,90, ,2,      1000.00,       815.30
N,Y5,1049DLS25A,SEC RE NCD 10.49% SR.VII,       983.91,       993.00,       993.00,       993.00,       993.00,                    45678.00,46, ,2,      1150.00,       900.30
N,Y6,IBHF25,SEC RE NCD SR.V,      1170.05,      1170.15,      1170.15,      1170.15,      1170.15,                     1170.15,1, ,1,      1200.55,      1050.45
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1093.10,      1094.00,      1095.00,      1094.00,      1094.05,                   766116.30,700, ,4,      1124.00,      1030.00
N,YM,835IHFL23B,SEC RE NCD 10.25% SR XII,       979.00,       900.30,       900.30,       900.30,       900.30,                     3601.20,4, ,1,      1041.00,       816.20
N,YO,965IHFL26,SEC RE NCD 9.65% SR I,       978.99,       970.00,       970.00,       970.00,       970.00,                     9700.00,10, ,1,       988.00,       910.25
N,YP,866IBHL25,SEC RE NCD 8.66% SR.VI,       973.00,       973.00,       973.00,       973.00,       973.00,                    48650.00,50, ,1,      1130.00,       915.10
N,YQ,925IHFL26B,SEC RE NCD 9.25% SR II,       968.00,       933.10,       934.20,       930.00,       930.00,                    63479.00,68, ,5,       975.00,       920.10
N,YW,957ICCL25,SEC RED NCD 9.30% SR. II,      1040.00,      1040.00,      1040.00,      1040.00,      1040.00,                   208000.00,200, ,3,      1085.00,      1008.51
N,YX,833IHFL24,SEC RE NCD SR.II,      1108.70,      1108.70,      1108.70,      1108.70,      1108.70,                    27717.50,25, ,1,      1108.70,       975.00
N,Z5,931SFL26,SEC RED NCD 9.31% SR.III,      1023.00,      1040.00,      1040.00,      1040.00,      1040.00,                     5200.00,5, ,1,      1071.12,       980.00
N,ZB,SFLZC24A,SEC RED NCD SR.IX,      1529.50,      1529.50,      1529.50,      1529.50,      1529.50,                    24472.00,16, ,2,      1770.00,      1325.00
N,ZC,SFLZC26A,SEC RED NCD SR.X,      1650.00,      1550.00,      1550.00,      1550.00,      1550.00,                    77500.00,50, ,2,      1835.00,      1304.00
N,ZE,866SFL25,SEC RED NCD 8.66% SR.II,       993.00,       993.00,       993.00,       993.00,       993.00,                   248250.00,250, ,3,      1020.00,       972.00
N,ZP,93IHFL24,SEC RE NCD 9.30% SR.I,       998.00,       998.00,       998.00,       998.00,       998.00,                     9980.00,10, ,1,      1124.00,       820.20
N,ZR,894IHFL24,SEC RE NCD 8.94% SR.II,       982.97,       983.00,       983.00,       982.91,       982.91,                   144496.50,147, ,2,      1134.00,       810.50
