Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15042024,1522247217,0002413
Trade Date <15-APR-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,303,BALAXI,EQ,10339,6327,61.20
20,304,BALKRISIND,EQ,117328,40984,34.93
20,305,BALMLAWRIE,EQ,534373,246980,46.22
20,306,BALPHARMA,EQ,5872,3935,67.01
20,307,BALRAMCHIN,EQ,1629914,426502,26.17
20,308,BANARBEADS,EQ,11378,3505,30.81
20,309,BANARISUG,EQ,1262,734,58.16
20,310,BANCOINDIA,EQ,103619,38641,37.29
20,311,BANDHANBNK,EQ,21581545,11735141,54.38
20,312,BANKBARODA,EQ,11835728,4956057,41.87
20,313,BANKBEES,EQ,893015,585474,65.56
20,314,BANKBETF,EQ,145768,144953,99.44
20,315,BANKETF,EQ,3528,2578,73.07
20,316,BANKETFADD,EQ,5689,3810,66.97
20,317,BANKIETF,EQ,2520827,2326522,92.29
20,318,BANKINDIA,EQ,8646073,3472816,40.17
20,319,BANKNIFTY1,EQ,35567,30556,85.91
20,320,BANSWRAS,EQ,41236,23149,56.14
20,321,BARBEQUE,EQ,908722,349536,38.46
20,322,BASF,EQ,20999,9870,47.00
20,323,BASILIC,SM,76800,48000,62.50
20,324,BASML,EQ,131447,74582,56.74
20,325,BATAINDIA,EQ,780335,388364,49.77
20,326,BAWEJA,SM,11200,8800,78.57
20,327,BAYERCROP,EQ,71674,20369,28.42
20,328,BBETF0432,EQ,4865,4722,97.06
20,329,BBL,EQ,31746,7883,24.83
20,330,BBNPPGOLD,EQ,526,363,69.01
20,331,BBOX,EQ,73838,52071,70.52
20,332,BBTC,EQ,23662,9637,40.73
20,333,BBTCL,EQ,6738,5532,82.10
20,334,BCG,EQ,14181809,5758204,40.60
20,335,BCLIND,EQ,882935,418051,47.35
20,336,BDL,EQ,1339538,392965,29.34
20,337,BEARDSELL,EQ,70651,44248,62.63
20,338,BECTORFOOD,EQ,135618,64647,47.67
20,339,BEL,EQ,51676313,19833724,38.38
20,340,BEML,EQ,322678,92530,28.68
20,341,BEPL,EQ,771305,393341,51.00
20,342,BERGEPAINT,EQ,439357,150331,34.22
20,343,BESTAGRO,EQ,34836,19738,56.66
20,344,BETA,SM,1700,1100,64.71
20,345,BEWLTD,SM,1750,1625,92.86
20,346,BFINVEST,EQ,39346,17127,43.53
20,347,BFSI,EQ,359859,241818,67.20
20,348,BFUTILITIE,EQ,228438,58087,25.43
20,349,BHAGCHEM,EQ,17672,10155,57.46
20,350,BHAGERIA,EQ,57037,26797,46.98
20,351,BHAGYANGR,EQ,242801,109328,45.03
20,352,BHANDARI,EQ,1031449,492193,47.72
20,353,BHARATFORG,EQ,1166614,567212,48.62
20,354,BHARATGEAR,EQ,52313,31039,59.33
20,355,BHARATRAS,EQ,737,392,53.19
20,356,BHARTIARTL,EQ,4281602,2485534,58.05
20,357,BHARTIHEXA,EQ,5068261,2263672,44.66
20,358,BHEL,EQ,21131641,6942211,32.85
20,359,BHINVIT,IV,435442,297005,68.21
20,360,BIGBLOC,EQ,157251,70518,44.84
20,361,BIKAJI,EQ,117085,56651,48.38
20,362,BIL,EQ,36782,22780,61.93
20,363,BIOCON,EQ,4071926,1258636,30.91
20,364,BIOFILCHEM,EQ,71229,30668,43.06
20,365,BIRET,RR,119112,101032,84.82
20,366,BIRLACABLE,EQ,117418,36692,31.25
20,367,BIRLACORPN,EQ,76783,31846,41.48
20,368,BLAL,EQ,164668,80636,48.97
20,369,BLISSGVS,EQ,226181,101283,44.78
20,370,BLKASHYAP,EQ,679134,367875,54.17
20,371,BLS,EQ,3407148,971312,28.51
20,372,BLSE,EQ,659780,294174,44.59
20,373,BLUEDART,EQ,25898,21612,83.45
20,374,BLUEJET,EQ,254663,145292,57.05
20,375,BLUEPEBBLE,ST,28800,27200,94.44
20,376,BLUESTARCO,EQ,296982,170185,57.30
20,377,BMETRICS,SM,2800,2400,85.71
20,378,BODALCHEM,EQ,905315,370931,40.97
20,379,BOMDYEING,EQ,1223967,424975,34.72
20,380,BOROLTD,EQ,89323,38874,43.52
20,381,BORORENEW,EQ,731282,253321,34.64
20,382,BOSCHLTD,EQ,28572,10785,37.75
20,383,BPCL,EQ,8309537,2118989,25.50
20,384,BPL,EQ,320876,106954,33.33
20,385,BRIGADE,EQ,339488,164694,48.51
20,386,BRIGHT,SM,141000,96000,68.09
20,387,BRITANNIA,EQ,421873,291811,69.17
20,388,BRITANNIA,N3,1583,1583,100.00
20,389,BSE,EQ,989946,362323,36.60
20,390,BSE500IETF,EQ,318492,98986,31.08
20,391,BSHSL,EQ,37446,22781,60.84
20,392,BSL,EQ,6273,4428,70.59
20,393,BSLGOLDETF,EQ,101595,63514,62.52
20,394,BSLNIFTY,EQ,138980,95261,68.54
20,395,BSLSENETFG,EQ,81459,60423,74.18
20,396,BSOFT,EQ,1211186,336858,27.81
20,397,BTML,EQ,694175,300831,43.34
20,398,BURNPUR,EQ,780793,384338,49.22
20,399,BUTTERFLY,EQ,6462,3557,55.04
20,400,BYKE,EQ,152025,76595,50.38
20,401,CADSYS,SM,73000,44000,60.27
20,402,CALSOFT,EQ,65753,40770,62.00
20,403,CAMLINFINE,EQ,1057172,534755,50.58
20,404,CAMPUS,EQ,693717,288139,41.54
20,405,CAMS,EQ,300701,99162,32.98
20,406,CANARYS,SM,616000,452000,73.38
20,407,CANBK,EQ,6040711,2177736,36.05
20,408,CANFINHOME,EQ,355718,126744,35.63
20,409,CANTABIL,EQ,90326,25411,28.13
20,410,CAPACITE,EQ,5967234,2080186,34.86
20,411,CAPITALSFB,EQ,37640,16104,42.78
20,412,CAPLIPOINT,EQ,78919,40754,51.64
20,413,CAPTRUST,EQ,18442,10588,57.41
20,414,CARBORUNIV,EQ,152664,105165,68.89
20,415,CARERATING,EQ,75620,53898,71.27
20,416,CARTRADE,EQ,67526,33058,48.96
20,417,CARYSIL,EQ,109853,46723,42.53
20,418,CASTROLIND,EQ,6493823,2499447,38.49
20,419,CBAZAAR,SM,120000,112000,93.33
20,420,CCL,EQ,95368,44765,46.94
20,421,CDSL,EQ,3703616,1042671,28.15
20,422,CEATLTD,EQ,82415,34624,42.01
20,423,CELEBRITY,EQ,125283,112291,89.63
20,424,CELLECOR,SM,69600,27600,39.66
20,425,CELLO,EQ,155542,95434,61.36
20,426,CELLPOINT,SM,54000,38400,71.11
20,427,CENTENKA,EQ,26498,17165,64.78
20,428,CENTRALBK,EQ,15436241,4108679,26.62
20,429,CENTRUM,EQ,1518347,738503,48.64
20,430,CENTUM,EQ,47754,25308,53.00
20,431,CENTURYPLY,EQ,113390,62536,55.15
20,432,CENTURYTEX,EQ,227252,87594,38.54
20,433,CERA,EQ,23682,14700,62.07
20,434,CESC,EQ,7582456,2851633,37.61
20,435,CGCL,EQ,11416369,1152535,10.10
20,436,CGPOWER,EQ,1940291,710164,36.60
20,437,CGRAPHICS,ST,1068800,996800,93.26
20,438,CHALET,EQ,223028,103810,46.55
20,439,CHAMBLFERT,EQ,1100255,323053,29.36
20,440,CHAVDA,SM,288000,160000,55.56
20,441,CHEMBOND,EQ,18149,8884,48.95
20,442,CHEMCON,EQ,40904,19168,46.86
20,443,CHEMFAB,EQ,23513,11170,47.51
20,444,CHEMPLASTS,EQ,86234,41442,48.06
20,445,CHENNPETRO,EQ,1754812,325581,18.55
20,446,CHEVIOT,EQ,2536,1784,70.35
20,447,CHOICEIN,EQ,588737,169355,28.77
20,448,CHOLAFIN,EQ,808218,421614,52.17
20,449,CHOLAFIN,N0,2,2,100.00
20,450,CHOLAFIN,N5,500,500,100.00
20,451,CHOLAFIN,NA,1,1,100.00
20,452,CHOLAFIN,NB,1,1,100.00
20,453,CHOLAFIN,NC,10,10,100.00
20,454,CHOLAHLDNG,EQ,120003,56808,47.34
20,455,CIEINDIA,EQ,286291,139513,48.73
20,456,CIGNITITEC,EQ,182697,93703,51.29
20,457,CINELINE,EQ,57930,38717,66.83
20,458,CINEVISTA,EQ,125859,77987,61.96
20,459,CIPLA,EQ,1125072,545419,48.48
20,460,CLEAN,EQ,161467,96776,59.94
20,461,CLEDUCATE,EQ,45371,30087,66.31
20,462,CLOUD,SM,1579000,640000,40.53
20,463,CLSEL,EQ,151985,74008,48.69
20,464,CLSL,SM,14000,10000,71.43
20,465,CMMIPL,ST,21000,21000,100.00
20,466,CMNL,SM,13500,12000,88.89
20,467,CMRSL,SM,800,800,100.00
20,468,CMSINFO,EQ,1526979,807250,52.87
20,469,COALINDIA,EQ,7680715,2581086,33.60
20,470,COASTCORP,EQ,22275,14352,64.43
20,471,COCHINSHIP,EQ,3644581,759312,20.83
20,472,COFFEEDAY,EQ,13817805,6910455,50.01
20,473,COFORGE,EQ,546918,228413,41.76
20,474,COLPAL,EQ,736760,398476,54.08
20,475,COMMITTED,SM,1600,1600,100.00
20,476,COMMOIETF,EQ,74804,36548,48.86
20,477,COMPUSOFT,EQ,181042,97160,53.67
20,478,COMSYN,EQ,9952,4949,49.73
20,479,CONCOR,EQ,2887446,1529941,52.99
20,480,CONCORDBIO,EQ,128614,70696,54.97
20,481,CONFIPET,EQ,1857951,721504,38.83
20,482,CONS,EQ,2308,1270,55.03
20,483,CONSOFINVT,EQ,17869,12821,71.75
20,484,CONSUMBEES,EQ,43231,29555,68.37
20,485,CONSUMIETF,EQ,65423,39513,60.40
20,486,CONTROLPR,EQ,41364,24220,58.55
20,487,COOLCAPS,SM,250,250,100.00
20,488,COROMANDEL,EQ,193241,72920,37.74
20,489,COSMOFIRST,EQ,33910,15189,44.79
20,490,COUNCODOS,EQ,117062,61902,52.88
20,491,CPS,SM,4200,4200,100.00
20,492,CPSEETF,EQ,8398201,5826369,69.38
20,493,CRAFTSMAN,EQ,55529,22313,40.18
20,494,CRAYONS,SM,45000,31000,68.89
20,495,CREATIVE,EQ,36640,21009,57.34
20,496,CREDITACC,EQ,226320,120544,53.26
20,497,CREDITACC,N5,48,48,100.00
20,498,CREDITACC,ND,25,25,100.00
20,499,CREST,EQ,11118,6992,62.89
20,500,CRISIL,EQ,22881,7037,30.75
20,501,CROMPTON,EQ,8578221,6373542,74.30
20,502,CSBBANK,EQ,2685158,528210,19.67
20,503,CSLFINANCE,EQ,19004,9563,50.32
20,504,CUB,EQ,4030082,1918519,47.60
20,505,CUMMINSIND,EQ,433380,184040,42.47
20,506,CYBERTECH,EQ,69861,27323,39.11
20,507,CYIENT,EQ,241184,121130,50.22
20,508,CYIENTDLM,EQ,120538,46579,38.64
20,509,DABUR,EQ,3600795,2383142,66.18
20,510,DALBHARAT,EQ,324805,132406,40.76
20,511,DALMIASUG,EQ,43780,20024,45.74
20,512,DAMODARIND,EQ,23010,16352,71.06
20,513,DANGEE,EQ,218717,177996,81.38
20,514,DATAMATICS,EQ,168311,58621,34.83
20,515,DATAPATTNS,EQ,488505,130298,26.67
20,516,DAVANGERE,EQ,253279,125052,49.37
20,517,DBL,EQ,471799,146436,31.04
20,518,DBOL,EQ,86294,45939,53.24
20,519,DBREALTY,EQ,3711831,1948486,52.49
20,520,DBSTOCKBRO,EQ,43415,28727,66.17
20,521,DCAL,EQ,508938,168042,33.02
20,522,DCBBANK,EQ,1275214,600410,47.08
20,523,DCI,EQ,7788,6191,79.49
20,524,DCM,EQ,16533,9791,59.22
20,525,DCMNVL,EQ,57371,36363,63.38
20,526,DCMSHRIRAM,EQ,42800,16717,39.06
20,527,DCMSRIND,EQ,237878,101772,42.78
20,528,DCW,EQ,3167121,981196,30.98
20,529,DCXINDIA,EQ,1225902,614909,50.16
20,530,DECCANCE,EQ,17111,9626,56.26
20,531,DEEM,SM,43000,39000,90.70
20,532,DEEPAKFERT,EQ,466769,164224,35.18
20,533,DEEPAKNTR,EQ,434128,158595,36.53
20,534,DEEPENR,EQ,28054,15920,56.75
20,535,DEEPINDS,EQ,302916,116534,38.47
20,536,DELAPLEX,SM,115800,108000,93.26
20,537,DELHIVERY,EQ,1813564,805161,44.40
20,538,DELPHIFX,EQ,6475,3373,52.09
20,539,DELTACORP,EQ,2066178,762822,36.92
20,540,DELTAMAGNT,EQ,10583,7893,74.58
20,541,DEN,EQ,1488673,604802,40.63
20,542,DENORA,EQ,24675,13297,53.89
20,543,DENTALKART,SM,20000,11000,55.00
20,544,DESTINY,SM,3000,3000,100.00
