Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03052024,2370002803,0002449
Trade Date <03-MAY-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,285,AXITA,EQ,880175,341458,38.79
20,286,AXSENSEX,EQ,3262,1943,59.56
20,287,AYMSYNTEX,EQ,49715,29778,59.90
20,288,AZAD,EQ,98783,57462,58.17
20,289,BABAFP,SM,19200,16000,83.33
20,290,BAHETI,SM,5250,5250,100.00
20,291,BAIDFIN,EQ,319377,75045,23.50
20,292,BAJAJ-AUTO,EQ,396042,118633,29.95
20,293,BAJAJCON,EQ,3547023,1050895,29.63
20,294,BAJAJELEC,EQ,50386,28912,57.38
20,295,BAJAJFINSV,EQ,5227529,1384486,26.48
20,296,BAJAJHCARE,EQ,33916,16227,47.84
20,297,BAJAJHIND,EQ,17772543,6991648,39.34
20,298,BAJAJHLDNG,EQ,46486,27488,59.13
20,299,BAJEL,EQ,1028371,457380,44.48
20,300,BAJFINANCE,EQ,6818601,2255648,33.08
20,301,BALAJITELE,EQ,193806,141029,72.77
20,302,BALAMINES,EQ,46823,22395,47.83
20,303,BALAXI,EQ,2639,2003,75.90
20,304,BALKRISIND,EQ,325984,157641,48.36
20,305,BALMLAWRIE,EQ,557068,250534,44.97
20,306,BALPHARMA,EQ,10102,7822,77.43
20,307,BALRAMCHIN,EQ,1377181,383883,27.87
20,308,BALUFORGE,EQ,487989,285041,58.41
20,309,BANARBEADS,EQ,2138,1600,74.84
20,310,BANARISUG,EQ,2978,1730,58.09
20,311,BANCOINDIA,EQ,52368,31187,59.55
20,312,BANDHANBNK,EQ,9237768,3744280,40.53
20,313,BANG,EQ,4556,3439,75.48
20,314,BANKBARODA,EQ,19568548,11489318,58.71
20,315,BANKBEES,EQ,648631,354800,54.70
20,316,BANKBETF,EQ,37661,36501,96.92
20,317,BANKETF,EQ,3053,2203,72.16
20,318,BANKETFADD,EQ,33966,20223,59.54
20,319,BANKIETF,EQ,285451,226150,79.23
20,320,BANKINDIA,EQ,9411856,4163821,44.24
20,321,BANKNIFTY1,EQ,13649,8283,60.69
20,322,BANSWRAS,EQ,163812,108888,66.47
20,323,BARBEQUE,EQ,64807,38663,59.66
20,324,BASF,EQ,53387,23789,44.56
20,325,BASILIC,SM,233700,168900,72.27
20,326,BASML,EQ,393023,213458,54.31
20,327,BATAINDIA,EQ,312915,158735,50.73
20,328,BAWEJA,SM,24000,16000,66.67
20,329,BAYERCROP,EQ,16595,7373,44.43
20,330,BBETF0432,EQ,806,761,94.42
20,331,BBL,EQ,42194,23367,55.38
20,332,BBNPPGOLD,EQ,63,62,98.41
20,333,BBOX,EQ,76950,57225,74.37
20,334,BBTC,EQ,46622,25131,53.90
20,335,BBTCL,EQ,5444,3229,59.31
20,336,BCLIND,EQ,936889,591967,63.18
20,337,BDL,EQ,577539,261756,45.32
20,338,BEARDSELL,EQ,122435,75467,61.64
20,339,BECTORFOOD,EQ,91171,53120,58.26
20,340,BEDMUTHA,EQ,4459,3145,70.53
20,341,BEL,EQ,15782582,6735665,42.68
20,342,BEML,EQ,715928,170045,23.75
20,343,BEPL,EQ,594641,329461,55.41
20,344,BERGEPAINT,EQ,1472843,673248,45.71
20,345,BESTAGRO,EQ,26133,18098,69.25
20,346,BETA,SM,3100,2400,77.42
20,347,BEWLTD,SM,5875,4625,78.72
20,348,BFINVEST,EQ,109037,51703,47.42
20,349,BFSI,EQ,806089,719648,89.28
20,350,BFUTILITIE,EQ,454039,141251,31.11
20,351,BHAGCHEM,EQ,132945,59388,44.67
20,352,BHAGERIA,EQ,35749,19003,53.16
20,353,BHAGYANGR,EQ,57554,29701,51.61
20,354,BHANDARI,EQ,704668,523811,74.33
20,355,BHARATFORG,EQ,683589,375769,54.97
20,356,BHARATGEAR,EQ,45439,27111,59.66
20,357,BHARATRAS,EQ,1940,915,47.16
