Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03072024,1890026004,0002527
Trade Date <03-JUL-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,457,BAJFINANCE,EQ,836393,459247,54.91
20,458,BALAJITELE,EQ,262427,154686,58.94
20,459,BALAMINES,EQ,65676,32666,49.74
20,460,BALAXI,EQ,20905,13344,63.83
20,461,BALKRISHNA,EQ,236726,74654,31.54
20,462,BALKRISIND,EQ,350920,237854,67.78
20,463,BALMLAWRIE,EQ,389119,167744,43.11
20,464,BALPHARMA,EQ,48081,35404,73.63
20,465,BALRAMCHIN,EQ,1130106,428582,37.92
20,466,BALUFORGE,EQ,1046588,525067,50.17
20,467,BANARBEADS,EQ,46915,15229,32.46
20,468,BANARISUG,EQ,2091,1080,51.65
20,469,BANCOINDIA,EQ,1042060,232699,22.33
20,470,BANDHANBNK,EQ,23960719,8416233,35.13
20,471,BANG,EQ,19782,11246,56.85
20,472,BANKBARODA,EQ,18643235,5728094,30.72
20,473,BANKBEES,EQ,1599187,1178102,73.67
20,474,BANKBETF,EQ,53683,51299,95.56
20,475,BANKETF,EQ,15319,13561,88.52
20,476,BANKETFADD,EQ,829850,807985,97.37
20,477,BANKIETF,EQ,2236238,1908917,85.36
20,478,BANKINDIA,EQ,8004538,4658156,58.19
20,479,BANKNIFTY1,EQ,205327,123649,60.22
20,480,BANSWRAS,EQ,108790,53834,49.48
20,481,BARBEQUE,EQ,125779,39749,31.60
20,482,BASF,EQ,48171,23720,49.24
20,483,BASILIC,SM,509400,306600,60.19
20,484,BASML,EQ,91712,62450,68.09
20,485,BATAINDIA,EQ,233632,92776,39.71
20,486,BAWEJA,SM,30400,20800,68.42
20,487,BAYERCROP,EQ,47549,21310,44.82
20,488,BBETF0432,EQ,673,597,88.71
20,489,BBL,EQ,66984,46697,69.71
20,490,BBNPNBETF,EQ,12006,11979,99.78
20,491,BBNPPGOLD,EQ,310,176,56.77
20,492,BBOX,EQ,746401,388407,52.04
20,493,BBTC,EQ,254765,53915,21.16
20,494,BBTCL,EQ,4580,3289,71.81
20,495,BCLIND,EQ,1105030,793600,71.82
20,496,BCONCEPTS,EQ,72547,44775,61.72
20,497,BDL,EQ,7386981,3171840,42.94
20,498,BEACON,SM,310000,166000,53.55
20,499,BEARDSELL,EQ,93094,45540,48.92
20,500,BECTORFOOD,EQ,144514,78838,54.55
20,501,BEDMUTHA,EQ,33601,23211,69.08
20,502,BEL,EQ,44919849,23516446,52.35
20,503,BEML,EQ,895194,231693,25.88
20,504,BEPL,EQ,6635670,2597444,39.14
20,505,BERGEPAINT,EQ,2251803,911417,40.47
20,506,BESTAGRO,EQ,46827,26409,56.40
20,507,BETA,SM,2900,2300,79.31
20,508,BEWLTD,SM,4375,4000,91.43
20,509,BFINVEST,EQ,83787,41568,49.61
20,510,BFSI,EQ,1057212,643584,60.88
20,511,BFUTILITIE,EQ,321416,150700,46.89
20,512,BHAGCHEM,EQ,179335,119566,66.67
20,513,BHAGERIA,EQ,47780,22177,46.41
20,514,BHAGYANGR,EQ,94006,51075,54.33
20,515,BHANDARI,EQ,792671,410769,51.82
20,516,BHARATFORG,EQ,1034534,590061,57.04
20,517,BHARATGEAR,EQ,31548,19814,62.81
20,518,BHARATRAS,EQ,4882,1911,39.14
20,519,BHARATWIRE,EQ,244796,123169,50.31
20,520,BHARTIARTL,EQ,8261388,6004693,72.68
20,521,BHARTIHEXA,EQ,508390,227702,44.79
20,522,BHEL,EQ,37577666,16394780,43.63
20,523,BHINVIT,IV,227114,213741,94.11
20,524,BIGBLOC,EQ,140889,69200,49.12
20,525,BIKAJI,EQ,540222,337758,62.52
20,526,BIOCON,EQ,6614689,3226524,48.78
20,527,BIOFILCHEM,EQ,54661,33611,61.49
20,528,BIRDYS,SM,1200,1200,100.00
20,529,BIRET,RR,316261,303313,95.91
20,530,BIRLACABLE,EQ,211104,74742,35.41
20,531,BIRLACORPN,EQ,269254,98748,36.67
20,532,BIRLAMONEY,EQ,516992,202662,39.20
20,533,BLAL,EQ,737444,241667,32.77
20,534,BLISSGVS,EQ,211499,114504,54.14
20,535,BLKASHYAP,EQ,576526,301244,52.25
20,536,BLS,EQ,4749253,980079,20.64
20,537,BLSE,EQ,346226,178211,51.47
20,538,BLUEDART,EQ,8000,4124,51.55
20,539,BLUEJET,EQ,81151,49846,61.42
20,540,BLUEPEBBLE,SM,8800,6400,72.73
20,541,BLUESTARCO,EQ,162834,88710,54.48
20,542,BMETRICS,SM,14800,10000,67.57
20,543,BODALCHEM,EQ,678147,304838,44.95
20,544,BOMDYEING,EQ,5027350,1570858,31.25
20,545,BOROLTD,EQ,1941348,757582,39.02
20,546,BORORENEW,EQ,824762,292867,35.51
20,547,BOROSCI,EQ,365282,209001,57.22
20,548,BOSCHLTD,EQ,23302,9208,39.52
20,549,BPCL,EQ,4355165,2028529,46.58
20,550,BPL,EQ,372389,171248,45.99
20,551,BRIGADE,EQ,85858,42078,49.01
20,552,BRIGHT,SZ,207000,180000,86.96
20,553,BRITANNIA,EQ,211361,94938,44.92
20,554,BSE,EQ,728280,513561,70.52
20,555,BSE500IETF,EQ,214962,114393,53.22
20,556,BSHSL,EQ,375381,133251,35.50
20,557,BSL,EQ,35985,25122,69.81
20,558,BSLGOLDETF,EQ,46281,33998,73.46
