ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF761K01FZ3,BOIMADGG,GR,OMF,9,10.96
INF761K01FW0,BOIMARGG,GR,OMF,9,10.92
INF0QA701730,BFMFLMRGG,GR,OMF,9,12.06
INF0QA701748,BFMFLMRDD,DP,OMF,9,12.06
INF0QA701763,BFMFLMDGG,GR,OMF,9,12.15
INF582M01JQ0,UNBCDG,GR,OMF,9,11.56
INF582M01JM9,UNBCRG,GR,OMF,9,11.49
INF582M01JN7,UNBCRDP,DP,OMF,9,11.49
INF966L01DT4,166PUDG,GR,OMF,9,12.4
INF966L01DU2,166PUD1,DP,OMF,9,12.4
INF966L01DQ0,166PUGP,GR,OMF,9,12.3
INF966L01DR8,166PUDP,DP,OMF,9,12.3
INF200KB1126,SEOFD686G,GR,OMF,9,11.56
INF200KB1092,SEOF686G,GR,OMF,9,11.49
INF200KB1100,SEOF686DP,DP,OMF,9,11.5
INF200KB1134,SEOFD686P,DP,OMF,9,11.56
INF179KC1IB6,HHNMRGMFL,GR,OMF,9,12.06
INF179KC1IC4,HHNMDGMF,GR,OMF,9,12.09
INF174V01BT8,MMMAFRG,GR,OMF,9,11.13
INF174V01BW2,MMMAFDG,GR,OMF,9,11.22
INF174V01BU6,MMMAFRP,DP,OMF,9,11.13
INF760K01KU6,CRMNGPG,GR,OMF,9,12.65
INF760K01KW2,CRMNDPD,DP,OMF,9,12.64
INF760K01KZ5,CRMNDGG,GR,OMF,9,12.75
INF879O01233,PPDAFG,GR,OMF,9,10.75
INF879O01258,PPDAFMD,DR,OMF,9,10.58
INF879O01266,PPDAFGZ,GR,OMF,9,10.76
INF879O01282,PPDFMDZ,DR,OMF,9,10.61
INF251K01TE1,IVDGG,GR,OMF,9,12.49
INF251K01TB7,IVRGG,GR,OMF,9,12.4
INF251K01TC5,IVRDD,DP,OMF,9,12.4
INF082J01457,MUGP,GR,OMF,9,10.78
INF082J01465,MURG,GR,OMF,9,10.71
INF194K01Z28,IDD218DR,DR,OMF,9,16.42
INF109KC15U3,IPRU3545,GR,OMF,9,12
INF109KC12U0,IPRU9747,GR,OMF,9,12.03
INF0R8701145,HHBADGHLMF,GR,OMF,9,11.07
