Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082024,1865492645,0002491
Trade Date <28-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2267,TECHM,EQ,3033590,1791614,59.06
20,2268,TEGA,EQ,15400,9077,58.94
20,2269,TEJASNET,EQ,421520,170414,40.43
20,2270,TEMBO,EQ,168601,40203,23.85
20,2271,TEXINFRA,EQ,541227,270923,50.06
20,2272,TEXMOPIPES,EQ,161732,92468,57.17
20,2273,TEXRAIL,EQ,3847427,1209277,31.43
20,2274,TFCILTD,EQ,671921,384828,57.27
20,2275,TGBHOTELS,EQ,109249,88652,81.15
20,2276,TGL,ST,2400,2400,100.00
20,2277,THANGAMAYL,EQ,288314,57567,19.97
20,2278,THEJO,EQ,6926,4707,67.96
20,2279,THEMISMED,EQ,163799,56001,34.19
20,2280,THERMAX,EQ,125961,97258,77.21
20,2281,THOMASCOOK,EQ,881816,550282,62.40
20,2282,THYROCARE,EQ,141119,101139,71.67
20,2283,TI,EQ,1091810,608799,55.76
20,2284,TIDEWATER,EQ,93711,27544,29.39
20,2285,TIIL,EQ,28343,9705,34.24
20,2286,TIINDIA,EQ,98361,51768,52.63
20,2287,TIMESCAN,SM,8000,8000,100.00
20,2288,TIMESGTY,EQ,16296,12164,74.64
20,2289,TIMETECHNO,EQ,742496,127062,17.11
20,2290,TIMKEN,EQ,92632,41619,44.93
20,2291,TIPSFILMS,EQ,6848,3971,57.99
20,2292,TIPSINDLTD,EQ,727425,187312,25.75
20,2293,TIRUMALCHM,EQ,354573,158561,44.72
20,2294,TIRUPATI,SM,6500,6500,100.00
20,2295,TITAGARH,EQ,797561,263327,33.02
20,2296,TITAN,EQ,727481,296433,40.75
20,2297,TMB,EQ,107439,51591,48.02
20,2298,TNIDETF,EQ,103447,90243,87.24
20,2299,TNPETRO,EQ,920027,345221,37.52
20,2300,TNPL,EQ,822429,559933,68.08
20,2301,TOKYOPLAST,EQ,966745,378156,39.12
20,2302,TOP100CASE,EQ,119582,110063,92.04
20,2303,TORNTPHARM,EQ,597337,226592,37.93
20,2304,TORNTPOWER,EQ,380258,147593,38.81
20,2305,TRACXN,EQ,1345053,556016,41.34
20,2306,TRANSTEEL,SM,120000,94000,78.33
20,2307,TRANSWIND,SM,4000,4000,100.00
20,2308,TREEHOUSE,EQ,22225,17362,78.12
20,2309,TREJHARA,EQ,87129,55400,63.58
20,2310,TREL,EQ,803353,355188,44.21
20,2311,TRENT,EQ,2358476,930866,39.47
20,2312,TRF,EQ,136604,76505,56.00
20,2313,TRIDENT,EQ,6865438,2834544,41.29
20,2314,TRIDHYA,SM,21000,12000,57.14
20,2315,TRITURBINE,EQ,1538475,470581,30.59
20,2316,TRIVENI,EQ,667444,229536,34.39
20,2317,TROM,SM,76800,50400,65.63
20,2318,TRU,EQ,2223940,1260244,56.67
20,2319,TRUST,ST,88800,81600,91.89
20,2320,TTKHLTCARE,EQ,8559,5456,63.75
20,2321,TTKPRESTIG,EQ,34192,19257,56.32
20,2322,TTL,EQ,31303,20532,65.59
20,2323,TTML,EQ,54007889,10017418,18.55
20,2324,TUNWAL,SM,356000,244000,68.54
20,2325,TV18BRDCST,EQ,10458549,4279350,40.92
20,2326,TVSELECT,EQ,919107,267305,29.08
20,2327,TVSHLTD,EQ,22337,12096,54.15
20,2328,TVSMOTOR,EQ,615924,309843,50.31
20,2329,TVSSCS,EQ,3140182,1348110,42.93
20,2330,TVSSRICHAK,EQ,5455,2772,50.82
20,2331,TVTODAY,EQ,476174,246317,51.73
20,2332,UBL,EQ,290995,202043,69.43
20,2333,UCAL,EQ,2474782,576894,23.31
20,2334,UCL,SM,2000,2000,100.00
20,2335,UCOBANK,EQ,2800309,1015703,36.27
20,2336,UDAICEMENT,EQ,649080,349642,53.87
20,2337,UDS,EQ,268056,152645,56.95
20,2338,UFLEX,EQ,197474,91017,46.09
20,2339,UFO,EQ,149069,86022,57.71
20,2340,UGARSUGAR,EQ,418053,171583,41.04
20,2341,UGROCAP,EQ,200867,124610,62.04
20,2342,UJJIVANSFB,EQ,7769228,4776701,61.48
20,2343,ULTRACEMCO,EQ,201101,125605,62.46
20,2344,UMA,SM,20000,16000,80.00
20,2345,UMAEXPORTS,EQ,613834,336840,54.87
20,2346,UNICHEMLAB,EQ,22309,7960,35.68
20,2347,UNIDT,EQ,37445,16798,44.86
20,2348,UNIECOM,EQ,3423808,602765,17.61
20,2349,UNIENTER,EQ,60446,33585,55.56
20,2350,UNIHEALTH,SM,40000,25000,62.50
20,2351,UNIINFO,EQ,73786,20718,28.08
20,2352,UNIONBANK,EQ,6711889,3752954,55.92
20,2353,UNIPARTS,EQ,79019,53762,68.04
20,2354,UNITDSPR,EQ,1221654,728486,59.63
20,2355,UNITEDPOLY,EQ,20073,12214,60.85
20,2356,UNITEDTEA,EQ,3600,2437,67.69
20,2357,UNIVASTU,EQ,22192,12510,56.37
20,2358,UNIVCABLES,EQ,178770,78053,43.66
20,2359,UNIVPHOTO,EQ,1449,1021,70.46
20,2360,UNOMINDA,EQ,792988,492625,62.12
