8.66%S-R-NCD SERIES 3A        ,866NTPC33 ,N3,N,0001208.20,0001260.00,0001260.00,0001260.00,0001260.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001260.00
8.72% UNSECURED NCD           ,872MMFSL26,N1,N,0001015.00,0001015.00,0001015.00,0001012.00,0001012.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001012.00
8.75% TAX FREE TR I S IIB     ,875NHAI29 ,N6,N,0001163.00,0001163.00,0001166.90,0001163.00,0001164.90,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001164.90
8.76% TAX FREETRI SR2B        ,876HUDCO28,ND,N,0001181.00,0001182.00,0001182.00,0001182.00,0001182.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001182.00
8.91% TAX FREE NCD            ,891IIFCL34,N4,N,0001294.00,0001293.00,0001293.00,0001293.00,0001293.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001293.00
8.91%S-R-NCD SERIES 3B        ,891NTPC33 ,N6,N,0001311.39,0001311.00,0001311.00,0001311.00,0001311.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001311.00
8.92% SEC RED BOND S3B        ,892NHPC33 ,N6,N,0001265.01,0001265.21,0001274.00,0001260.31,0001273.71,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001273.00
8.92% TAX FREE NCD            ,892PFCL33 ,N8,N,0001311.10,0001310.05,0001310.05,0001305.05,0001309.72,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001309.90
9.00% UNSECURED NCD           ,9MMFSML   ,N2,N,0001025.00,0001026.00,0001026.00,0001026.00,0001026.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001026.00
9.01% TAX FREETRII SR3B       ,901HUDCO34,NE,N,0001313.39,0001320.00,0001320.00,0001310.50,0001310.96,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001310.50
9.40 % SRNCD TR II SR III     ,94IFCI25  ,NL,N,0001040.00,0001035.00,0001036.40,0001035.00,0001036.34,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001036.00
9.90 % SRNCD SR VI            ,99IFCI24  ,NH,N,0001060.13,0001060.50,0001060.50,0001060.00,0001060.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001060.00
A AND M JUMBO BAGS LTD        ,AMJUMBO   ,SM,N,0000015.00,0000015.00,0000017.00,0000015.00,0000016.45,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000016.45
A B INFRABUILD LIMITED        ,ABINFRA   ,SM,N,0000075.00,0000077.00,0000078.50,0000068.00,0000075.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000075.10
A G UNIVERSAL LIMITED         ,AGUL      ,SM,N,0000060.00,0000060.00,0000060.00,0000060.00,0000060.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000060.00
A2Z INFRA ENGINEERING LTD     ,A2ZINFRA  ,BE,G,0000018.90,0000018.56,0000018.56,0000018.52,0000018.52,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000018.52
AAA TECHNOLOGIES LIMITED      ,AAATECH   ,EQ,N,0000123.40,0000125.00,0000125.00,0000118.19,0000119.28,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000119.40
AADHAR HOUSING FINANCE L      ,AADHARHFC ,EQ,N,0000397.25,0000400.00,0000401.00,0000385.20,0000386.70,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000387.20
AAKASH EXPLORATION SER L      ,AAKASH    ,BE,N,0000013.02,0000013.25,0000013.25,0000012.40,0000012.98,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000013.09
AAREY DRUGS & PHARM LTD       ,AAREYDRUGS,EQ,N,0000061.39,0000061.80,0000067.52,0000061.42,0000066.23,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000067.52
AARON INDUSTRIES LIMITED      ,AARON     ,EQ,N,0000270.55,0000272.00,0000274.75,0000270.00,0000271.30,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000271.80
AARTECH SOLONICS LIMITED      ,AARTECH   ,EQ,N,0000081.16,0000081.16,0000085.21,0000077.10,0000077.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000077.10
AARTI DRUGS LTD.              ,AARTIDRUGS,EQ,N,0000593.95,0000597.90,0000601.00,0000582.50,0000584.40,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000585.10
AARTI INDUSTRIES LTD          ,AARTIIND  ,EQ,N,0000640.20,0000643.00,0000648.90,0000629.75,0000640.75,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000640.00
AARTI PHARMALABS LIMITED      ,AARTIPHARM,EQ,N,0000655.35,0000653.75,0000672.10,0000651.60,0000655.65,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000655.05
AARTI SURFACTANTS LIMITED     ,AARTISURF ,EQ,N,0000656.90,0000656.90,0000664.55,0000651.60,0000658.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000659.00
AARTI SURFACTANTS LIMITED     ,AARTISURF ,P1,N,0000185.00,0000185.00,0000222.00,0000183.05,0000192.65,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000185.00
AARVEE DEN. & EXP. LTD        ,AARVEEDEN ,BE,G,0000048.78,0000047.80,0000047.80,0000047.80,0000047.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000047.80
AARVI ENCON LIMITED           ,AARVI     ,EQ,N,0000150.87,0000150.87,0000152.90,0000143.35,0000144.16,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000145.40
AATMAJ HEALTHCARE LIMITED     ,AATMAJ    ,SM,N,0000027.15,0000027.35,0000027.45,0000027.25,0000027.35,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000027.45
AAVAS FINANCIERS LIMITED      ,AAVAS     ,EQ,N,0001690.35,0001705.00,0001724.50,0001681.50,0001720.10,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0001722.00
ABAN OFFSHORE LTD.            ,ABAN      ,EQ,N,0000081.76,0000084.00,0000084.80,0000078.26,0000078.75,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000078.75
ABANS HOLDINGS LIMITED        ,AHL       ,EQ,N,0000597.70,0000593.15,0000602.00,0000586.15,0000596.60,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000594.00
ABB INDIA LIMITED             ,ABB       ,EQ,N,0007906.95,0007929.95,0007955.95,0007845.05,0007938.40,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007945.00
ABBOTT INDIA LIMITED          ,ABBOTINDIA,EQ,N,0029737.50,0029735.00,0030145.50,0029630.00,0029955.25,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0030099.00
ABHISHEK INTEGRATIONS LTD     ,AILIMITED ,ST,N,0000109.25,0000107.90,0000107.90,0000104.00,0000104.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000104.00
ABM INTERNATIONAL LTD         ,ABMINTLLTD,BE,G,0000063.50,0000062.24,0000062.24,0000062.23,0000062.24,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000062.24
ABS MARINE SERVICES LTD       ,ABSMARINE ,SM,N,0000298.00,0000301.95,0000308.00,0000292.70,0000293.75,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000294.00
ACC LIMITED                   ,ACC       ,EQ,N,0002348.25,0002358.00,0002358.00,0002326.00,0002330.35,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0002333.00
