Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092024,1667967481,0002449
Trade Date <04-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2308,UNIENTER,EQ,118765,67856,57.13
20,2309,UNIHEALTH,SM,66000,50000,75.76
20,2310,UNIINFO,EQ,9751,5261,53.95
20,2311,UNIONBANK,EQ,7475894,4251597,56.87
20,2312,UNIPARTS,EQ,46869,28517,60.84
20,2313,UNITDSPR,EQ,590555,312277,52.88
20,2314,UNITEDPOLY,EQ,50695,15020,29.63
20,2315,UNITEDTEA,EQ,10813,6308,58.34
20,2316,UNIVASTU,EQ,18619,13236,71.09
20,2317,UNIVCABLES,EQ,81361,49825,61.24
20,2318,UNIVPHOTO,EQ,1585,1010,63.72
20,2319,UNOMINDA,EQ,632592,382278,60.43
20,2320,UPL,EQ,3139837,1143814,36.43
20,2321,URBAN,SM,10000,8400,84.00
20,2322,URJA,EQ,1986384,1002462,50.47
20,2323,USHAMART,EQ,1542113,1069900,69.38
20,2324,UTIAMC,EQ,595757,284962,47.83
20,2325,UTIBANKETF,EQ,192523,165383,85.90
20,2326,UTINEXT50,EQ,59310,41120,69.33
20,2327,UTINIFTETF,EQ,1856885,1836454,98.90
20,2328,UTISENSETF,EQ,996,726,72.89
20,2329,UTISXN50,EQ,3141,2074,66.03
20,2330,UTKARSHBNK,EQ,595433,381993,64.15
20,2331,UTSSAV,SM,450000,286800,63.73
20,2332,UTTAMSUGAR,EQ,116060,53544,46.13
20,2333,VADILALIND,EQ,5659,2506,44.28
20,2334,VAIBHAVGBL,EQ,980702,407957,41.60
20,2335,VAISHALI,EQ,444733,273960,61.60
20,2336,VAKRANGEE,EQ,2146008,882099,41.10
20,2337,VALIANTLAB,EQ,129811,52139,40.17
20,2338,VALIANTORG,EQ,31426,17682,56.27
20,2339,VARDHACRLC,EQ,55431,30251,54.57
20,2340,VARROC,EQ,224449,126521,56.37
20,2341,VASA,ST,20000,20000,100.00
20,2342,VASCONEQ,EQ,1153177,442966,38.41
20,2343,VASWANI,EQ,90197,57445,63.69
20,2344,VBL,EQ,2089457,1310293,62.71
20,2345,VDEAL,ST,409200,350400,85.63
20,2346,VEDL,EQ,15530065,9231762,59.44
20,2347,VEEKAYEM,SM,1500,1500,100.00
20,2348,VELS,SM,1200,1200,100.00
20,2349,VENKEYS,EQ,293675,96948,33.01
20,2350,VENUSPIPES,EQ,44130,24738,56.06
20,2351,VENUSREM,EQ,34026,20248,59.51
20,2352,VERITAAS,SM,2400,2400,100.00
20,2353,VERTOZ,EQ,1187212,809054,68.15
20,2354,VESUVIUS,EQ,44759,27218,60.81
20,2355,VGUARD,EQ,611907,285110,46.59
20,2356,VHL,EQ,991,764,77.09
20,2357,VIAZ,SM,16000,14000,87.50
20,2358,VIDHIING,EQ,15887,12121,76.30
20,2359,VIJAYA,EQ,73247,41986,57.32
20,2360,VIKASECO,EQ,4301781,2279669,52.99
20,2361,VIKASLIFE,EQ,5863267,3470245,59.19
20,2362,VILAS,ST,61000,56000,91.80
20,2363,VILINBIO,SM,8000,8000,100.00
20,2364,VIMTALABS,EQ,109108,35568,32.60
20,2365,VINATIORGA,EQ,33449,20128,60.18
20,2366,VINDHYATEL,EQ,37063,19191,51.78
